DATE,MSQEFLRG Index,MSQEFVAG Index,MSQEFMOG Index,MSQEFQUG Index,SGIFXC10 Index,SGIFXM10 Index,BXIIXTBP Index,BXIISAGU Index,BXIIEPAG Index,BCOM Index
10/30/2015,156.49,107.99,124.54,124.08,850.052,966.532,178.0685,639.2722,159.1264,87.4289
11/30/2015,156.19,108.78,126.62,124.98,860.291,958.928,177.7019,639.1133,159.206,81.0781
12/31/2015,157.56,108.4,129.06,125.33,858.35,949.651,174.3952,635.9148,159.0587,78.5588
1/29/2016,168.09,111.59,129.7,127.01,839.814,940.15,176.4707,648.2697,160.8004,77.2234
2/29/2016,169.53,113.31,125.86,125.28,832.571,945.758,179.4645,656.3194,161.1099,75.9463
3/31/2016,168.06,113.34,124.08,125.37,834.621,949.99,177.9322,654.4338,160.7166,78.8272
4/29/2016,164.45,111.01,120.55,122.46,827.656,966.767,176.2701,651.6683,160.4447,85.5205
5/31/2016,165,110.71,124.26,123.25,834.592,966.751,177.5049,655.4871,160.4554,85.3383
6/30/2016,171.16,109.91,129.86,122.9,835.149,977.537,182.6405,666.2783,161.7337,88.8423
7/29/2016,167.73,110.02,127.58,122.3,840.558,983.99,182.2328,664.8447,161.5949,84.2809
8/31/2016,166.87,112.21,123.22,123.03,840.999,980.263,182.5036,662.4677,161.3942,82.7727
9/30/2016,165.44,111.06,124.05,121.8,839.137,984.509,182.9085,665.8154,161.2947,85.342
10/31/2016,163.28,114.53,120.84,121.68,863.035,974.694,181.1785,653.2885,160.8323,84.9011
11/30/2016,158.86,118.05,116.03,123.09,879.828,959.86,182.9899,651.6106,161.036,86.0015
12/30/2016,160.32,121.17,113.57,123.44,885.27,958.911,184.9316,652.4693,161.3125,87.5144
1/31/2017,157.29,117.56,115.39,121.87,874.499,965.134,184.6528,652.8448,161.0678,87.5922
2/28/2017,160.34,118.58,115.13,123.71,890.392,970.799,184.922,647.7424,161.39,87.7388
3/31/2017,162.17,118.21,116.24,124.49,880.621,972.246,183.261,647.1712,161.2972,85.3508
4/28/2017,164.55,117.73,116.8,125.13,867.504,961.99,182.002,645.9144,161.3738,84.0128
5/31/2017,168.49,115.73,119.08,126.49,853.262,966.112,182.985,645.1418,161.3334,82.8292
6/30/2017,166.26,116.31,117.53,127.49,838.105,956.92,179.3432,642.7897,160.9852,82.6017
7/31/2017,164.7,115.5,117.83,127.35,825.222,943.997,175.8431,642.7162,161.1891,84.3915
8/31/2017,167.63,115.36,121.11,127.31,817.975,939.079,177.2986,643.996,161.2361,84.6565
9/29/2017,166,117.18,121.04,129.02,820.839,934.812,174.199,637.5761,160.3278,84.4599
10/31/2017,168.57,116.4,124.67,129.83,838.051,945.381,174.315,638.4973,160.2757,86.1882
11/30/2017,169.02,117.54,123.65,132.68,822.307,953.596,174.7422,641.6194,160.4507,85.7033
12/29/2017,166.53,117.35,120.28,131.34,810.887,957.904,173.5844,643.1356,160.3665,88.1674
1/31/2018,163.53,116.04,123.65,132.57,774.828,960.845,177.0299,644.5912,159.7731,89.8001
2/28/2018,160.9,115.98,124.09,133.54,785.554,952.314,177.6122,643.5145,159.3364,88.1409
3/30/2018,162.38,114.57,124.54,134.18,792.322,957.429,175.4124,642.5266,159.3576,87.4729
4/30/2018,163.68,113.56,123.74,135.11,819.728,953.959,176.7228,641.0884,159.3948,89.593
5/31/2018,162.53,112.51,127.35,136.21,830.906,956.709,177.6474,643.3805,158.9552,90.7159
6/29/2018,165.37,111.12,124.48,136.25,839.987,960.649,178.1262,643.5024,159.3274,87.4095
7/31/2018,167.34,112.66,122.13,138.34,838.461,969.059,177.1316,643.1499,159.0167,85.3947
8/31/2018,168.27,111.25,125.88,139.42,846.288,959.355,178.0859,643.9388,159.1691,83.736
9/28/2018,169.16,110.88,124.67,139.62,849.303,953.422,176.4054,640.3858,158.9436,85.201
10/31/2018,173.01,112.37,122.55,136.88,871.282,958.916,175.2975,641.5841,159.0761,83.1903
11/30/2018,177.77,113.4,119.67,136.94,869.617,950.264,175.1202,644.6363,158.8799,82.5607
12/31/2018,179.87,113.72,119.79,136.38,860.788,945.188,176.7757,647.1446,158.4376,76.7154
1/31/2019,175.77,114.77,118.88,136.47,854.147,948.499,178.4949,650.6485,158.3201,80.7252
2/28/2019,177.34,111.56,119.23,138.49,875.011,953.434,177.4907,648.8285,158.3452,81.3904
3/29/2019,181.77,109.34,122.26,138.41,883.76,972.004,183.1952,660.7573,159.2399,81.0872
4/30/2019,181.4,109.07,119.98,138.81,906.5,973.295,181.1029,658.1052,159.0408,80.5738
5/31/2019,189.9,105.03,128.55,138.37,908.371,958.569,186.9209,668.0033,160.0719,77.7043
6/28/2019,188.15,104.44,127.37,137.89,883.569,966.668,190.1867,673.9432,160.6869,79.653
7/31/2019,188.36,102.76,127.13,137.77,904.12,968.657,191.5609,674.1427,160.869,78.9631
8/30/2019,193.68,98.55,135.16,137.76,912.349,957.23,201.5588,690.2539,161.5795,77.0044
9/30/2019,195.11,102.03,126.84,137.13,923.699,968.602,196.4894,681.4839,161.0274,77.7797
10/31/2019,192.89,101.46,124.87,138.75,905.423,964.739,189.0297,675.6343,160.649,79.2367
11/29/2019,190.97,101.12,122.92,138.55,921.865,968.734,188.2211,669.7594,160.4294,77.1108
12/31/2019,187.5,101.26,120.55,138.08,888.107,970.281,189.6062,668.1861,160.0885,80.8871
1/31/2020,193.05,98.14,127.21,136.51,909.549,968.097,185.415,668.3903,160.9557,74.8374
2/28/2020,187.74,97.09,126.84,137.3,923.224,974.53,193.228,679.4898,162.1333,70.9799
3/31/2020,182.78,95.69,128.66,142.45,907.315,950.754,195.8914,684.5347,162.8386,61.8577
4/30/2020,173.94,93.43,128.45,142.36,905.499,954.919,197.485,686.5274,163.0367,60.8983
5/29/2020,177.14,91.29,135.51,147,891.129,948.365,197.3411,685.3185,163.265,63.5353
6/30/2020,171.21,91.98,131.78,146.31,884.325,944.22,194.9663,688.0395,163.4976,64.9762
7/31/2020,174.82,90.2,140.1,147.17,828.029,941.756,195.8175,690.2477,163.6911,68.6767
8/31/2020,170.54,89.87,138.71,148.07,824.266,946.341,194.281,683.8945,163.4892,73.315
9/30/2020,170.43,89.73,139.16,148.43,842.456,941.798,194.851,688.1102,163.7985,70.8516
10/30/2020,163.16,90.23,137.14,148.3,834.356,951.694,194.0024,690.2545,163.8435,71.8436
11/30/2020,152.33,89.72,125.59,144.13,820.672,951.834,192.4705,688.9715,163.7152,74.3612
12/31/2020,149.47,88.31,125.89,142.82,797.887,960.092,191.7663,687.9404,163.8257,78.0543
1/29/2021,146.21,90.56,125.84,142.13,808.785,966.103,191.6625,687.0485,163.9281,80.0981
2/26/2021,136.92,90.3,121.56,138.97,820.199,960.937,196.2419,681.4643,163.4923,85.2778
3/31/2021,145.22,95.16,114.52,141.31,853.751,960.712,195.7538,680.9234,163.5509,83.4445
4/30/2021,147.22,93.88,116.52,143.57,826.983,968.289,195.3858,680.8841,163.4719,90.361
5/31/2021,147.49,95.24,116.74,143.83,824.75,968.379,195.5007,681.9912,163.367,92.8252
6/30/2021,148.56,92.9,115.47,147.3,845.31,980.6,193.8132,680.9995,163.1668,94.5412
7/30/2021,155.75,93.73,116.63,150.75,839.537,985.107,196.4392,684.0983,163.2987,96.2754
8/31/2021,155.07,92.55,118.35,150.33,844.296,1001.709,195.4708,681.8757,163.2375,95.9859
9/30/2021,150.47,92.33,117.83,148.08,865.587,1000.817,192.8714,677.3744,162.5764,100.7581
10/29/2021,153.19,92,118.75,151.51,858.055,986.728,194.9929,677.929,160.7921,103.3578
11/30/2021,157.04,93.28,121.4,155.78,866.611,970.018,190.2712,677.6032,161.6483,95.7976
12/31/2021,164.9,95.74,122.83,156.93,866.404,977.502,189.6701,675.9276,160.9573,99.1694
1/31/2022,163.26,101.56,115.7,152.06,874.096,981.05,192.5434,678.0254,160.524,107.8627
2/28/2022,156.58,100.92,115.77,150.05,873.221,980.459,195.7115,677.7201,160.3167,114.5522
3/31/2022,163.33,100.69,118.62,148.76,888.925,965.82,202.1096,679.5372,161.8531,124.4109
4/29/2022,169.53,104.27,119.94,148.79,937.459,969.479,207.8787,681.279,162.2833,129.4827
5/31/2022,169.4,110.03,118.73,149.47,932.127,963.367,210.0515,679.4634,161.9723,131.343
6/30/2022,174.46,106.92,119.84,147.85,955.961,975.895,212.2375,679.9445,162.5473,117.0482
7/29/2022,172.03,106.04,121.52,149.29,957.351,977.7,204.9563,675.893,160.724,121.827
8/31/2022,165.31,103.1,123.27,147.66,975.507,983.82,207.6535,654.8504,166.5811,121.6412
9/30/2022,164.11,102.88,122.58,145.86,994.333,975.906,215.3925,665.1337,170.8553,111.4887
10/31/2022,165.56,106.09,128.13,148.02,999.281,977.41,215.1444,667.0708,170.1861,113.3532
11/30/2022,168.22,106.99,127.83,151.15,969.671,985.334,212.0635,664.4571,169.9876,116.0528
12/30/2022,168.85,106.7,126.21,151.33,954.824,984.894,213.751,666.4834,171.1874,112.8052
1/31/2023,161.7,107.43,118.59,150.09,951.331,1006.411,210.6696,661.0988,169.8093,111.8001
2/28/2023,160.03,108.03,118.34,149.95,975.632,1002.749,213.0287,665.8184,173.18,106.1591
3/31/2023,165.08,105.06,120.42,152.22,968.289,1011.338,203.3442,667.0732,170.1147,105.5076
